Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.3605E+03,.3535E+00,.4661E+00,.4661E+00,.3535E+00
.3610E+03,.3233E+00,.4247E+00,.4247E+00,.3233E+00
.3615E+03,.3733E+00,.4887E+00,.4887E+00,.3733E+00
.3620E+03,.3237E+00,.4223E+00,.4223E+00,.3237E+00
.3625E+03,.4491E+00,.5842E+00,.5842E+00,.4491E+00
.3630E+03,.4045E+00,.5244E+00,.5244E+00,.4045E+00
.3635E+03,.3735E+00,.4828E+00,.4828E+00,.3735E+00
.3640E+03,.4580E+00,.5901E+00,.5901E+00,.4580E+00
.3645E+03,.3926E+00,.5042E+00,.5042E+00,.3926E+00
.3650E+03,.4010E+00,.5133E+00,.5133E+00,.4010E+00
.3655E+03,.5047E+00,.6440E+00,.6440E+00,.5047E+00
.3660E+03,.5362E+00,.6820E+00,.6820E+00,.5362E+00
.3665E+03,.5050E+00,.6403E+00,.6403E+00,.5050E+00
.3670E+03,.4931E+00,.6232E+00,.6232E+00,.4931E+00
.3675E+03,.5129E+00,.6462E+00,.6462E+00,.5129E+00
.3680E+03,.4499E+00,.5650E+00,.5650E+00,.4499E+00
.3685E+03,.4553E+00,.5701E+00,.5701E+00,.4553E+00
.3690E+03,.4931E+00,.6157E+00,.6157E+00,.4931E+00
.3695E+03,.5272E+00,.6563E+00,.6563E+00,.5272E+00
.3700E+03,.5638E+00,.6997E+00,.6997E+00,.5638E+00
.3705E+03,.4388E+00,.5430E+00,.5430E+00,.4388E+00
.3710E+03,.4701E+00,.5801E+00,.5801E+00,.4701E+00
.3715E+03,.5898E+00,.7255E+00,.7255E+00,.5898E+00
.3720E+03,.3925E+00,.4814E+00,.4814E+00,.3925E+00
.3725E+03,.4719E+00,.5771E+00,.5771E+00,.4719E+00
.3730E+03,.4812E+00,.5869E+00,.5869E+00,.4812E+00
.3735E+03,.3139E+00,.3817E+00,.3817E+00,.3139E+00
.3740E+03,.4572E+00,.5545E+00,.5545E+00,.4572E+00
.3745E+03,.3796E+00,.4591E+00,.4591E+00,.3796E+00
.3750E+03,.3699E+00,.4462E+00,.4462E+00,.3699E+00
.3755E+03,.5538E+00,.6660E+00,.6660E+00,.5538E+00
.3760E+03,.4602E+00,.5520E+00,.5520E+00,.4602E+00
.3765E+03,.4782E+00,.5719E+00,.5719E+00,.4782E+00
.3770E+03,.5075E+00,.6053E+00,.6053E+00,.5075E+00
.3775E+03,.5951E+00,.7080E+00,.7080E+00,.5951E+00
.3780E+03,.6467E+00,.7673E+00,.7673E+00,.6467E+00
.3785E+03,.6129E+00,.7252E+00,.7252E+00,.6129E+00
.3790E+03,.5072E+00,.5984E+00,.5984E+00,.5072E+00
.3795E+03,.4645E+00,.5466E+00,.5466E+00,.4645E+00
.3800E+03,.4842E+00,.5683E+00,.5683E+00,.4842E+00
.3805E+03,.5878E+00,.6882E+00,.6882E+00,.5878E+00
.3810E+03,.5904E+00,.6895E+00,.6895E+00,.5904E+00
.3815E+03,.4690E+00,.5464E+00,.5464E+00,.4690E+00
.3820E+03,.4174E+00,.4851E+00,.4851E+00,.4174E+00
.3825E+03,.3566E+00,.4135E+00,.4135E+00,.3566E+00
.3830E+03,.3309E+00,.3827E+00,.3827E+00,.3309E+00
.3835E+03,.3194E+00,.3685E+00,.3685E+00,.3194E+00
.3840E+03,.3531E+00,.4063E+00,.4063E+00,.3531E+00
.3845E+03,.5205E+00,.5976E+00,.5976E+00,.5205E+00
