BAND #,CW (nm),FWHM (nm),borne_min,borne_max
207,2314.17,7.67203,2310.0,2318.0
208,2322.13,7.64333,2318.0,2326.0
209,2330.05,7.61464,2326.0,2334.0
210,2337.94,7.58593,2334.0,2342.0
211,2345.81,7.55715,2342.0,2350.0
212,2353.64,7.52827,2350.0,2358.0
213,2361.44,7.49924,2358.0,2365.0
214,2369.21,7.47001,2365.0,2373.0
215,2376.95,7.44055,2373.0,2381.0
216,2384.66,7.41082,2381.0,2389.0
217,2392.34,7.38077,2389.0,2396.0
218,2400.0,7.35037,2396.0,2404.0
219,2407.62,7.31957,2404.0,2411.0
220,2415.21,7.28832,2411.0,2419.0
221,2422.78,7.25659,2419.0,2427.0
222,2430.32,7.22434,2427.0,2434.0
223,2437.82,7.19152,2434.0,2442.0
224,2445.3,7.1581,2442.0,2449.0
