Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.3630E+03,.4038E+00,.5238E+00,.5238E+00,.4038E+00
.3635E+03,.3730E+00,.4822E+00,.4822E+00,.3730E+00
.3640E+03,.4574E+00,.5894E+00,.5894E+00,.4574E+00
.3645E+03,.3920E+00,.5036E+00,.5036E+00,.3920E+00
.3650E+03,.4004E+00,.5127E+00,.5127E+00,.4004E+00
.3655E+03,.5039E+00,.6432E+00,.6432E+00,.5039E+00
.3660E+03,.5353E+00,.6811E+00,.6811E+00,.5353E+00
.3665E+03,.5043E+00,.6396E+00,.6396E+00,.5043E+00
.3670E+03,.4923E+00,.6225E+00,.6225E+00,.4923E+00
.3675E+03,.5121E+00,.6454E+00,.6454E+00,.5121E+00
.3680E+03,.4492E+00,.5643E+00,.5643E+00,.4492E+00
.3685E+03,.4546E+00,.5695E+00,.5695E+00,.4546E+00
.3690E+03,.4924E+00,.6149E+00,.6149E+00,.4924E+00
.3695E+03,.5265E+00,.6555E+00,.6555E+00,.5265E+00
.3700E+03,.5630E+00,.6989E+00,.6989E+00,.5630E+00
.3705E+03,.4381E+00,.5423E+00,.5423E+00,.4381E+00
.3710E+03,.4694E+00,.5794E+00,.5794E+00,.4694E+00
.3715E+03,.5889E+00,.7247E+00,.7247E+00,.5889E+00
.3720E+03,.3919E+00,.4808E+00,.4808E+00,.3919E+00
.3725E+03,.4712E+00,.5764E+00,.5764E+00,.4712E+00
.3730E+03,.4805E+00,.5862E+00,.5862E+00,.4805E+00
.3735E+03,.3134E+00,.3813E+00,.3813E+00,.3134E+00
.3740E+03,.4566E+00,.5539E+00,.5539E+00,.4566E+00
.3745E+03,.3791E+00,.4586E+00,.4586E+00,.3791E+00
.3750E+03,.3694E+00,.4457E+00,.4457E+00,.3694E+00
.3755E+03,.5530E+00,.6652E+00,.6652E+00,.5530E+00
.3760E+03,.4596E+00,.5513E+00,.5513E+00,.4596E+00
.3765E+03,.4775E+00,.5712E+00,.5712E+00,.4775E+00
.3770E+03,.5067E+00,.6046E+00,.6046E+00,.5067E+00
.3775E+03,.5943E+00,.7072E+00,.7072E+00,.5943E+00
.3780E+03,.6459E+00,.7664E+00,.7664E+00,.6459E+00
.3785E+03,.6121E+00,.7244E+00,.7244E+00,.6121E+00
.3790E+03,.5065E+00,.5978E+00,.5978E+00,.5065E+00
.3795E+03,.4639E+00,.5460E+00,.5460E+00,.4639E+00
.3800E+03,.4835E+00,.5676E+00,.5676E+00,.4835E+00
.3805E+03,.5870E+00,.6874E+00,.6874E+00,.5870E+00
.3810E+03,.5896E+00,.6887E+00,.6887E+00,.5896E+00
.3815E+03,.4684E+00,.5458E+00,.5458E+00,.4684E+00
.3820E+03,.4169E+00,.4846E+00,.4846E+00,.4169E+00
.3825E+03,.3562E+00,.4130E+00,.4130E+00,.3562E+00
.3830E+03,.3304E+00,.3822E+00,.3822E+00,.3304E+00
.3835E+03,.3190E+00,.3680E+00,.3680E+00,.3190E+00
.3840E+03,.3526E+00,.4059E+00,.4059E+00,.3526E+00
.3845E+03,.5198E+00,.5969E+00,.5969E+00,.5198E+00
.3850E+03,.5166E+00,.5918E+00,.5918E+00,.5166E+00
.3855E+03,.4823E+00,.5511E+00,.5511E+00,.4823E+00
.3860E+03,.4140E+00,.4720E+00,.4720E+00,.4140E+00
.3865E+03,.5451E+00,.6200E+00,.6200E+00,.5451E+00
.3870E+03,.4540E+00,.5152E+00,.5152E+00,.4540E+00
.3875E+03,.5111E+00,.5786E+00,.5786E+00,.5111E+00
.3880E+03,.4730E+00,.5342E+00,.5342E+00,.4730E+00
.3885E+03,.4685E+00,.5280E+00,.5280E+00,.4685E+00
.3890E+03,.5069E+00,.5699E+00,.5699E+00,.5069E+00
.3895E+03,.6153E+00,.6902E+00,.6902E+00,.6153E+00
