BAND #,CW (nm),FWHM (nm),borne_min,borne_max,coeff
174,2032.7,8.77665,2028.0,2037.0,0.0005030466828917307
175,2041.83,8.73878,2037.0,2046.0,0.0005109219906086649
176,2050.92,8.70111,2046.0,2055.0,0.0003433512538209274
177,2059.96,8.66361,2055.0,2064.0,0.0003445371109674928
178,2068.97,8.62632,2064.0,2073.0,0.00035992284727934097
179,2077.93,8.58923,2073.0,2082.0,0.0004785085619358781
180,2086.86,8.55236,2082.0,2091.0,0.0005132328917147923
181,2095.74,8.51572,2091.0,2100.0,0.0005130200455602805
182,2104.59,8.47932,2100.0,2109.0,0.000526125287359503
183,2113.4,8.44317,2109.0,2118.0,0.0005380750786056617
184,2122.17,8.40728,2118.0,2127.0,0.0005164255840324683
185,2130.9,8.37166,2127.0,2135.0,0.0005324802654013532
186,2139.6,8.33632,2135.0,2144.0,0.0005379838588251566
187,2148.26,8.30128,2144.0,2153.0,0.0005132937049017956
188,2156.88,8.26653,2153.0,2161.0,0.000492313155385639
189,2165.47,8.2321,2161.0,2170.0,0.00046227144100598297
190,2174.02,8.198,2170.0,2178.0,0.0004710893531214691
191,2182.53,8.16422,2178.0,2187.0,0.0004497743310767941
192,2191.01,8.13079,2187.0,2195.0,0.0004585314300052768
193,2199.45,8.09771,2195.0,2204.0,0.00043332436399238724
194,2207.86,8.065,2204.0,2212.0,0.000445456594799556
195,2216.24,8.03267,2212.0,2220.0,0.00045135547393888127
196,2224.58,8.00072,2220.0,2229.0,0.0004511426277843695
197,2232.89,7.96916,2229.0,2237.0,0.00044548700139305776
198,2241.16,7.93802,2237.0,2245.0,0.000429493133211176
199,2249.4,7.90728,2245.0,2254.0,0.0004260875947389883
200,2257.61,7.87694,2254.0,2262.0,0.00040389078148276474
201,2265.79,7.84695,2262.0,2270.0,0.000399542638612025
202,2273.93,7.81727,2270.0,2278.0,0.0003871367484633411
203,2282.04,7.78785,2278.0,2286.0,0.0003868934957153278
204,2290.12,7.75866,2286.0,2294.0,0.0
205,2298.17,7.72966,2294.0,2302.0,0.00035700381430318
206,2306.19,7.70079,2302.0,2310.0,0.0003594667483768158
207,2314.17,7.67203,2310.0,2318.0,0.0003543280340750325
208,2322.13,7.64333,2318.0,2326.0,0.00030516057238282214
209,2330.05,7.61464,2326.0,2334.0,0.0
210,2337.94,7.58593,2334.0,2342.0,0.00028837613276989693
211,2345.81,7.55715,2342.0,2350.0,0.00025438156123502295
212,2353.64,7.52827,2350.0,2358.0,0.0002408810337202787
